Title,Brand,Quantity,MRP,ean_code,Unit,TLC,MLC,LLC,Images
Chocos Kellogg's 26 g,Kellogg's,26 g,10,,,Snacks & Branded Foods,Breakfast Cereals,Kids Cereal,"https://www.bigbasket.com/media/uploads/p/l/253517_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/253517-2_2-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/253517-3_1-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/253517-4_1-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/253517-5_1-kelloggs-chocos.jpg"
Choco Kellogg's 22 g,Kellogg's,22 g,10,,,Snacks & Branded Foods,Breakfast Cereals,Kids Cereal,"https://www.bigbasket.com/media/uploads/p/l/30005231_3-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-2_4-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-3_4-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-4_4-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-5_4-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-6_1-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-7_1-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-8_1-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-9_1-kelloggs-choco.jpg, https://www.bigbasket.com/media/uploads/p/l/30005231-10_1-kelloggs-choco.jpg"
Chocos Kellogg's 127 g,Kellogg's,127 g,60,,,Snacks & Branded Foods,Breakfast Cereals,Kids Cereal,"https://www.bigbasket.com/media/uploads/p/l/123659_11-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/123659-2_7-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/123659-3_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/123659-4_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/123659-5_6-kelloggs-chocos.jpg"
Chocos Kellogg's 250 g,Kellogg's,250 g,144,,,Snacks & Branded Foods,Breakfast Cereals,Kids Cereal,"https://www.bigbasket.com/media/uploads/p/l/251021_9-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/251021-2_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/251021-3_5-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/251021-4_5-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/251021-5_5-kelloggs-chocos.jpg"
Chocos Kellogg's 1.15 Kg,Kellogg's,1.15 Kg,525,,,Snacks & Branded Foods,Breakfast Cereals,Kids Cereal,"https://www.bigbasket.com/media/uploads/p/l/30008601_14-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-2_7-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-3_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-4_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-5_6-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-6_4-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-7_4-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-8_4-kelloggs-chocos.jpg, https://www.bigbasket.com/media/uploads/p/l/30008601-9_1-kelloggs-chocos.jpg"
Idly & Dosa Batter iD fresho! 1 kg,iD fresho!,1 kg,89,3410152,g,Snacks & Branded Foods,Ready To Cook & Eat,Breakfast & Snack Mixes,"https://www.bigbasket.com/media/uploads/p/l/271205_16-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-2_15-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-3_12-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-4_12-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-5_12-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-6_12-id-fresho-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/271205-7_6-id-fresho-idly-dosa-batter.jpg"
Idly & Dosa Batter iD fresho! 2 kg,iD fresho!,2 kg,149,89042560729284,g,Snacks & Branded Foods,Ready To Cook & Eat,Breakfast & Snack Mixes,"https://www.bigbasket.com/media/uploads/p/l/294904_7-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-2_7-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-3_7-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-4_7-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-5_6-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-6_6-id-idly-dosa-batter.jpg, https://www.bigbasket.com/media/uploads/p/l/294904-7_3-id-idly-dosa-batter.jpg"
Namkeen - Salted Banana Chips Tasties 2x150 g,Tasties,2x150 g,198,,,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/1216233_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-2_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-3_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-4_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-5_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-6_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216233-7_1-tasties-namkeen-salted-banana-chips.jpg"
Namkeen - Salted Banana Chips Tasties 3x150 g,Tasties,3x150 g,297,,,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,"https://www.bigbasket.com/media/uploads/p/l/1216234_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-2_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-3_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-4_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-5_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-6_1-tasties-namkeen-salted-banana-chips.jpg, https://www.bigbasket.com/media/uploads/p/l/1216234-7_1-tasties-namkeen-salted-banana-chips.jpg"
2-Minute Instant Noodles - Masala MAGGI  70 g,MAGGI ,70 g,14,8901058006292,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/266160_24-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-2_1-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-3_1-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-4_1-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-5_1-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-6_1-maggi-masala-instant-noodles-vegetarian.jpg, https://www.bigbasket.com/media/uploads/p/l/266160-7_1-maggi-masala-instant-noodles-vegetarian.jpg"
